dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.198211,10.487524,0.003704,0.148148,2.962963,59.259259,6.282340
0.050000,0.197520,10.487525,0.004395,0.013823,-2.686497,-112.989191,6.283054
0.050000,0.212849,10.487533,0.019724,0.306577,5.855069,170.831319,0.001057
0.050000,0.237167,10.487579,0.044042,0.486373,3.595927,-45.182848,0.002718
0.050000,0.268439,10.487697,0.075314,0.625430,2.781146,-16.295615,0.004848
0.050000,0.306666,10.487932,0.113542,0.764568,2.782759,0.032249,0.007443
0.050000,0.351855,10.488338,0.158733,0.903817,2.784982,0.044468,0.010498
0.050000,0.404010,10.488977,0.210892,1.043170,2.787060,0.041549,0.014008
0.050000,0.463136,10.489922,0.270025,1.182673,2.790052,0.059846,0.017964
0.050000,0.529239,10.491255,0.336142,1.322327,2.793073,0.060422,0.022358
0.050000,0.602326,10.493066,0.409251,1.462180,2.797060,0.079744,0.027181
0.050000,0.682401,10.495453,0.489362,1.602227,2.800952,0.077835,0.032423
0.050000,0.769473,10.498524,0.576488,1.742518,2.805823,0.097428,0.038070
0.050000,0.863547,10.502392,0.670642,1.883073,2.811093,0.105391,0.044109
0.050000,0.964630,10.507179,0.771838,2.023923,2.816996,0.118057,0.050526
0.050000,1.072728,10.513014,0.880093,2.165095,2.823442,0.128926,0.057303
0.050000,1.187845,10.520030,0.995424,2.306621,2.830525,0.141662,0.064421
0.050000,1.309988,10.528367,1.117851,2.448543,2.838446,0.158418,0.071861
0.050000,1.439161,10.538170,1.247395,2.590881,2.846758,0.166240,0.079602
0.050000,1.575367,10.549586,1.384079,2.733684,2.856055,0.185944,0.087618
0.050000,1.718611,10.562768,1.527928,2.876975,2.865815,0.195191,0.095885
0.050000,1.868894,10.577869,1.678968,3.020796,2.876424,0.212188,0.104376
0.050000,2.026218,10.595044,1.837227,3.165183,2.887739,0.226291,0.113061
0.050000,2.190585,10.614447,2.002735,3.310168,2.899710,0.239424,0.121909
0.050000,2.361996,10.636233,2.175525,3.455788,2.912396,0.253716,0.130888
0.050000,2.540450,10.660554,2.355628,3.602075,2.925726,0.266598,0.139963
0.050000,2.725948,10.687557,2.543081,3.749063,2.939778,0.281059,0.149098
0.050000,2.914989,10.716828,2.734375,3.825874,1.536217,-28.071226,0.158091
0.050000,3.104069,10.747819,2.925978,3.832065,0.123819,-28.247956,0.166765
0.050000,3.293187,10.780470,3.117894,3.838306,0.124817,0.019947,0.175116
0.050000,3.482339,10.814726,3.310123,3.844588,0.125633,0.016322,0.183143
0.050000,3.671527,10.850526,3.502668,3.850902,0.126290,0.013146,0.190844
0.050000,3.860750,10.887813,3.695530,3.857242,0.126798,0.010164,0.198217
0.050000,4.050011,10.926527,3.888710,3.863601,0.127172,0.007475,0.205262
0.050000,4.239313,10.966608,4.082209,3.869972,0.127426,0.005074,0.211978
0.050000,4.428660,11.007996,4.276027,3.876351,0.127573,0.002953,0.218365
0.050000,4.618057,11.050632,4.470163,3.882732,0.127629,0.001102,0.224421
0.050000,4.807511,11.094454,4.664619,3.889112,0.127604,-0.000490,0.230149
0.050000,4.997027,11.139404,4.859393,3.895488,0.127512,-0.001836,0.235547
0.050000,5.186616,11.185419,5.054486,3.901856,0.127365,-0.002948,0.240616
0.050000,5.376285,11.232441,5.249897,3.908215,0.127173,-0.003842,0.245357
0.050000,5.566044,11.280408,5.445625,3.914562,0.126946,-0.004530,0.249770
0.050000,5.755905,11.329260,5.641670,3.920897,0.126695,-0.005027,0.253856
0.050000,5.945878,11.378936,5.838031,3.927218,0.126427,-0.005348,0.257615
0.050000,6.135977,11.429376,6.034707,3.933526,0.126152,-0.005508,0.261048
0.050000,6.326213,11.480519,6.231698,3.939820,0.125875,-0.005534,0.264157
0.050000,6.516601,11.532305,6.429003,3.946100,0.125603,-0.005447,0.266941
0.050000,6.707154,11.584672,6.626621,3.952367,0.125349,-0.005078,0.269401
0.050000,6.897888,11.637562,6.824552,3.958623,0.125109,-0.004813,0.271538
0.050000,7.088818,11.690912,7.022796,3.964867,0.124890,-0.004374,0.273353
0.050000,7.279959,11.744662,7.221351,3.971102,0.124697,-0.003855,0.274846
0.050000,7.471329,11.798751,7.420217,3.977329,0.124534,-0.003269,0.276017
0.050000,7.662943,11.853118,7.619395,3.983549,0.124402,-0.002628,0.276866
0.050000,7.854818,11.907703,7.818883,3.989764,0.124305,-0.001944,0.277395
0.050000,8.046971,11.962443,8.018682,3.995976,0.124243,-0.001229,0.277603
0.050000,8.239421,12.017278,8.218791,4.002187,0.124219,-0.000495,0.277490
0.050000,8.432185,12.072145,8.419211,4.008399,0.124231,0.000247,0.277056
0.050000,8.625280,12.126982,8.619942,4.014613,0.124280,0.000984,0.276301
0.050000,8.818724,12.181727,8.820983,4.020831,0.124366,0.001706,0.275225
0.050000,9.012535,12.236317,9.022336,4.027055,0.124486,0.002400,0.273828
0.050000,9.206732,12.290689,9.224000,4.033287,0.124638,0.003055,0.272109
0.050000,9.401331,12.344779,9.425977,4.039528,0.124821,0.003658,0.270067
0.050000,9.596349,12.398524,9.628266,4.045780,0.125031,0.004197,0.267702
0.050000,9.791806,12.451858,9.830868,4.052043,0.125264,0.004661,0.265014
0.050000,9.987716,12.504716,10.033784,4.058319,0.125516,0.005035,0.262001
0.050000,10.184097,12.557034,10.237014,4.064608,0.125781,0.005307,0.258664
0.050000,10.380965,12.608743,10.440560,4.070911,0.126054,0.005464,0.255001
0.050000,10.578335,12.659778,10.644421,4.077227,0.126329,0.005492,0.251012
0.050000,10.776221,12.710071,10.848599,4.083557,0.126598,0.005377,0.246696
0.050000,10.974639,12.759554,11.053094,4.089900,0.126853,0.005105,0.242052
0.050000,11.173602,12.808157,11.257907,4.096254,0.127086,0.004662,0.237080
0.050000,11.373120,12.855812,11.463038,4.102618,0.127288,0.004033,0.231779
0.050000,11.573207,12.902448,11.668487,4.108991,0.127448,0.003205,0.226149
0.050000,11.773871,12.947995,11.874256,4.115369,0.127556,0.002162,0.220190
0.050000,11.975122,12.992380,12.080343,4.121749,0.127601,0.000891,0.213901
0.050000,12.176967,13.035532,12.286749,4.128127,0.127574,-0.000532,0.207282
0.050000,12.379412,13.077379,12.493474,4.134500,0.127449,-0.002502,0.200335
0.050000,12.582462,13.117847,12.700517,4.140861,0.127225,-0.004476,0.193058
0.050000,12.786119,13.156863,12.907878,4.147205,0.126888,-0.006751,0.185454
0.050000,12.990383,13.194352,13.115554,4.153526,0.126420,-0.009348,0.177524
0.050000,13.195254,13.230242,13.323545,4.159817,0.125808,-0.012237,0.169268
0.050000,13.400728,13.264457,13.531848,4.166069,0.125037,-0.015423,0.160689
0.050000,13.606800,13.296924,13.740462,4.172273,0.124092,-0.018910,0.151790
0.050000,13.810440,13.327133,13.946330,4.117361,-1.098246,-24.446758,0.142710
0.050000,14.007769,13.354579,14.145559,3.984582,-2.655585,-31.146776,0.133646
0.050000,14.197909,13.379279,14.337296,3.834745,-2.996739,-6.823073,0.124668
0.050000,14.380790,13.401378,14.521508,3.684232,-3.010259,-0.270405,0.115813
0.050000,14.556348,13.421031,14.698162,3.533082,-3.023003,-0.254893,0.107113
0.050000,14.724520,13.438392,14.867228,3.381322,-3.035186,-0.243655,0.098599
0.050000,14.885250,13.453621,15.028678,3.228990,-3.046639,-0.229046,0.090302
0.050000,15.038484,13.466876,15.182484,3.076123,-3.057346,-0.214146,0.082248
0.050000,15.184173,13.478317,15.328621,2.922753,-3.067407,-0.201226,0.074465
0.050000,15.322272,13.488101,15.467067,2.768917,-3.076716,-0.186178,0.066975
0.050000,15.452743,13.496383,15.597800,2.614654,-3.085258,-0.170837,0.059801
0.050000,15.575546,13.503315,15.720799,2.459986,-3.093366,-0.162159,0.052963
0.050000,15.690652,13.509044,15.836047,2.304955,-3.100620,-0.145082,0.046482
0.050000,15.798030,13.513710,15.943527,2.149598,-3.107140,-0.130394,0.040372
0.050000,15.897657,13.517450,16.043224,1.993942,-3.113124,-0.119682,0.034651
0.050000,15.989510,13.520389,16.135124,1.838002,-3.118794,-0.113414,0.029332
0.050000,16.073572,13.522650,16.219216,1.681835,-3.123329,-0.090693,0.024427
0.050000,16.149824,13.524342,16.295487,1.525432,-3.128073,-0.094878,0.019949
0.050000,16.218256,13.525569,16.363930,1.368858,-3.131473,-0.068002,0.015906
0.050000,16.278855,13.526424,16.424535,1.212101,-3.135146,-0.073449,0.012307
0.050000,16.331613,13.526991,16.477296,1.055211,-3.137791,-0.052901,0.009160
0.050000,16.376522,13.527342,16.522206,0.898203,-3.140171,-0.047606,0.006472
0.050000,16.413575,13.527540,16.559260,0.741073,-3.142586,-0.048311,0.004246
0.050000,16.442768,13.527639,16.588453,0.583867,-3.144120,-0.030672,0.002489
0.050000,16.464098,13.527678,16.609784,0.426610,-3.145152,-0.020638,0.001202
0.050000,16.477563,13.527689,16.623248,0.269288,-3.146445,-0.025860,0.000389
0.050000,16.483161,13.527690,16.628846,0.111956,-3.146625,-0.003610,0.000050
0.050000,16.483992,13.527690,16.629678,0.016638,-1.906366,24.805183,0.000000
0.050000,16.483992,13.527690,16.629678,0.000000,-0.332762,31.472095,0.000000
